431,T and P:,23.99,998.008911,24.81,998.009216,24.64,997.977966,0.00,0.000000,23.89,998.347046,corrected P0 - P1 in Pa:,0.15,corrected P1 - P2 in Pa:,-0.19,Current time (UTC):,19:11:17,Date (dd/mm/yyyy):,21/04/2022,patient ID,6
872,T and P:,23.98,998.008545,24.82,998.010620,24.64,997.977112,0.00,0.000000,23.89,998.348022,corrected P0 - P1 in Pa:,-0.03,corrected P1 - P2 in Pa:,0.04,Current time (UTC):,19:11:18,Date (dd/mm/yyyy):,21/04/2022,patient ID,6
1310,T and P:,23.97,998.008362,24.81,998.011902,24.64,997.979248,0.00,0.000000,23.90,998.348694,corrected P0 - P1 in Pa:,-0.18,corrected P1 - P2 in Pa:,-0.05,Current time (UTC):,19:11:18,Date (dd/mm/yyyy):,21/04/2022,patient ID,6
1748,T and P:,23.97,998.009766,24.80,998.010681,24.64,997.980530,0.00,0.000000,23.89,998.349609,corrected P0 - P1 in Pa:,0.08,corrected P1 - P2 in Pa:,-0.30,Current time (UTC):,19:11:19,Date (dd/mm/yyyy):,21/04/2022,patient ID,6
2183,T and P:,23.97,998.007751,24.81,998.011902,24.64,997.979675,0.00,0.000000,23.90,998.350342,corrected P0 - P1 in Pa:,-0.24,corrected P1 - P2 in Pa:,-0.09,Current time (UTC):,19:11:19,Date (dd/mm/yyyy):,21/04/2022,patient ID,6
2621,T and P:,23.97,998.008911,24.82,998.013916,24.63,997.979614,0.00,0.000000,23.89,998.347351,corrected P0 - P1 in Pa:,-0.32,corrected P1 - P2 in Pa:,0.12,Current time (UTC):,19:11:20,Date (dd/mm/yyyy):,21/04/2022,patient ID,6
3056,T and P:,23.97,998.009399,24.81,998.011536,24.63,997.979736,0.00,0.000000,23.89,998.347412,corrected P0 - P1 in Pa:,-0.04,corrected P1 - P2 in Pa:,-0.13,Current time (UTC):,19:11:20,Date (dd/mm/yyyy):,21/04/2022,patient ID,6
3494,T and P:,23.96,998.010498,24.80,998.011658,24.63,997.978333,0.00,0.000000,23.89,998.347717,corrected P0 - P1 in Pa:,0.06,corrected P1 - P2 in Pa:,0.02,Current time (UTC):,19:11:20,Date (dd/mm/yyyy):,21/04/2022,patient ID,6
3929,T and P:,23.96,998.009583,24.81,998.012207,24.63,997.978333,0.00,0.000000,23.89,998.349243,corrected P0 - P1 in Pa:,-0.09,corrected P1 - P2 in Pa:,0.08,Current time (UTC):,19:11:21,Date (dd/mm/yyyy):,21/04/2022,patient ID,6
4368,T and P:,23.96,998.008850,24.80,998.012634,24.64,997.981201,0.00,0.000000,23.89,998.349915,corrected P0 - P1 in Pa:,-0.20,corrected P1 - P2 in Pa:,-0.17,Current time (UTC):,19:11:21,Date (dd/mm/yyyy):,21/04/2022,patient ID,6
4805,T and P:,23.96,998.011108,24.80,998.012512,24.63,997.979614,0.00,0.000000,23.89,998.348755,corrected P0 - P1 in Pa:,0.04,corrected P1 - P2 in Pa:,-0.02,Current time (UTC):,19:11:22,Date (dd/mm/yyyy):,21/04/2022,patient ID,6
5241,T and P:,23.97,998.011902,24.80,998.012451,24.63,997.980835,0.00,0.000000,23.89,998.350708,corrected P0 - P1 in Pa:,0.12,corrected P1 - P2 in Pa:,-0.15,Current time (UTC):,19:11:22,Date (dd/mm/yyyy):,21/04/2022,patient ID,6
5679,T and P:,23.96,998.013306,24.80,998.013306,24.63,997.984680,0.00,0.000000,23.89,998.351196,corrected P0 - P1 in Pa:,0.18,corrected P1 - P2 in Pa:,-0.45,Current time (UTC):,19:11:23,Date (dd/mm/yyyy):,21/04/2022,patient ID,6
6116,T and P:,23.96,998.014282,24.80,998.014282,24.62,997.983765,0.00,0.000000,23.89,998.351807,corrected P0 - P1 in Pa:,0.18,corrected P1 - P2 in Pa:,-0.26,Current time (UTC):,19:11:23,Date (dd/mm/yyyy):,21/04/2022,patient ID,6
