427,T and P:,21.92,992.695679,22.50,992.696106,22.56,992.674744,0.00,0.000000,23.60,992.945557,corrected P0 - P1 in Pa:,-0.14,corrected P1 - P2 in Pa:,-0.09,Current time (UTC):,19:51:58,Date (dd/mm/yyyy):,25/04/2022,patient ID,6
913,T and P:,21.91,992.696960,22.49,992.695496,22.56,992.676514,0.00,0.000000,23.60,992.947998,corrected P0 - P1 in Pa:,0.05,corrected P1 - P2 in Pa:,-0.32,Current time (UTC):,19:51:59,Date (dd/mm/yyyy):,25/04/2022,patient ID,6
1342,T and P:,21.91,992.697205,22.50,992.698181,22.55,992.674194,0.00,0.000000,23.60,992.950256,corrected P0 - P1 in Pa:,-0.19,corrected P1 - P2 in Pa:,0.18,Current time (UTC):,19:51:59,Date (dd/mm/yyyy):,25/04/2022,patient ID,6
1773,T and P:,21.91,992.699524,22.49,992.699158,22.53,992.674072,0.00,0.000000,23.60,992.949219,corrected P0 - P1 in Pa:,-0.06,corrected P1 - P2 in Pa:,0.29,Current time (UTC):,19:52:00,Date (dd/mm/yyyy):,25/04/2022,patient ID,6
2203,T and P:,21.91,992.699951,22.50,992.699707,22.53,992.674377,0.00,0.000000,23.60,992.950439,corrected P0 - P1 in Pa:,-0.07,corrected P1 - P2 in Pa:,0.31,Current time (UTC):,19:52:00,Date (dd/mm/yyyy):,25/04/2022,patient ID,6
2635,T and P:,21.91,992.700562,22.49,992.698608,22.55,992.676331,0.00,0.000000,23.59,992.950012,corrected P0 - P1 in Pa:,0.10,corrected P1 - P2 in Pa:,0.01,Current time (UTC):,19:52:01,Date (dd/mm/yyyy):,25/04/2022,patient ID,6
3064,T and P:,21.91,992.698608,22.50,992.699219,22.55,992.676392,0.00,0.000000,23.61,992.948975,corrected P0 - P1 in Pa:,-0.16,corrected P1 - P2 in Pa:,0.06,Current time (UTC):,19:52:01,Date (dd/mm/yyyy):,25/04/2022,patient ID,6
3496,T and P:,21.91,992.701111,22.50,992.699951,22.55,992.677490,0.00,0.000000,23.60,992.950562,corrected P0 - P1 in Pa:,0.02,corrected P1 - P2 in Pa:,0.02,Current time (UTC):,19:52:02,Date (dd/mm/yyyy):,25/04/2022,patient ID,6
3925,T and P:,21.91,992.701477,22.50,992.699585,22.54,992.676880,0.00,0.000000,23.60,992.950867,corrected P0 - P1 in Pa:,0.09,corrected P1 - P2 in Pa:,0.05,Current time (UTC):,19:52:02,Date (dd/mm/yyyy):,25/04/2022,patient ID,6
4357,T and P:,21.91,992.699768,22.50,992.699951,22.55,992.677734,0.00,0.000000,23.60,992.951416,corrected P0 - P1 in Pa:,-0.11,corrected P1 - P2 in Pa:,0.00,Current time (UTC):,19:52:02,Date (dd/mm/yyyy):,25/04/2022,patient ID,6
4787,T and P:,21.92,992.700256,22.49,992.698303,22.55,992.676941,0.00,0.000000,23.60,992.950256,corrected P0 - P1 in Pa:,0.10,corrected P1 - P2 in Pa:,-0.09,Current time (UTC):,19:52:03,Date (dd/mm/yyyy):,25/04/2022,patient ID,6
5217,T and P:,21.92,992.701233,22.50,992.698669,22.54,992.674927,0.00,0.000000,23.59,992.949829,corrected P0 - P1 in Pa:,0.16,corrected P1 - P2 in Pa:,0.15,Current time (UTC):,19:52:03,Date (dd/mm/yyyy):,25/04/2022,patient ID,6
